Alliance,Association,CaCode,MCVAboveAlliance,SumOfCountOfSurveyID,Inactivated,CaCodeUpdate,AllianceUpdate,AssociationUpdate,InactivationType,LineageNewCaCode
Calamagrostis nutkaensis,Calamagrostis nutkaensis / Baccharis pilularis,41.190.01,,4,TRUE,,,,Merged,41.190.05
Calamagrostis scopulorum – Andropogon glomeratus,Andropogon glomeratus – Schoenus nigricans,41.195.01,,12,FALSE,,,,,
Callitropsis nootkatensis,,81.200.00,,1,FALSE,,,,,
Calocedrus decurrens,Calocedrus decurrens – Alnus rhombifolia,85.100.03,,3,FALSE,,,,,
Calocedrus decurrens,Calocedrus decurrens – Quercus chrysolepis – Quercus kelloggii,85.100.04,,2,FALSE,,,,,
"Carex (aquatilis, lenticularis)",Carex aquatilis – Carex lenticularis,45.168.04,,2,FALSE,,,,,
"Carex (pansa, praegracilis)",,45.184.00,,1,TRUE,,,,Merged,45.570.00
"Carex (pansa, praegracilis)",Carex praegracilis,45.184.03,,4,TRUE,,,,Split,"45.570.06, 41.281.02"
"Carex (utriculata, vesicaria)",Eleocharis macrostachya Montane,45.240.01,,4,FALSE,,,,,
Carex barbarae,Carex barbarae,45.142.01,,8,FALSE,,,,,
Carex densa,,45.165.00,,1,TRUE,,,,Merged,45.570.00
Carex densa,Carex densa,45.165.01,,1,FALSE,,,,,
Carex filifolia,,45.140.00,,20,FALSE,,,,,
Carex lasiocarpa,Carex lasiocarpa,45.166.01,,1,FALSE,,,,,
Carex limosa – Carex buxbaumii – Eleocharis quinqueflora,Carex capitata fen,45.192.03,,4,FALSE,,,,,
Carex limosa – Carex buxbaumii – Eleocharis quinqueflora,Carex echinata / (Philonotis fontana – Sphagnum subsecundum),45.191.01,,1,FALSE,,,,,
Carex limosa – Carex buxbaumii – Eleocharis quinqueflora,Carex scopulorum,45.120.01,,1,FALSE,,,,,
Carex limosa – Carex buxbaumii – Eleocharis quinqueflora,Carex simulata,45.190.01,,4,FALSE,,,,,
Carex limosa – Carex buxbaumii – Eleocharis quinqueflora,Mimulus primuloides,45.413.03,,1,FALSE,,,,,
Carex nebrascensis,Carex nebrascensis,45.130.01,,2,FALSE,,,,,
Carex nudata,Carex nudata,45.182.01,,10,FALSE,,,,,
Carex obnupta,Carex obnupta,45.183.01,,22,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus,Argentina egedii – (Juncus lescurii),38.140.07,,5,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus,Carex obnupta,45.183.01,,6,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus,Oenanthe sarmentosa,52.119.01,,1,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus [pending],,45.189.00,,1,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus [pending],Argentina egedii – (Juncus lescurii),38.140.07,,4,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus [pending],Carex obnupta – Argentina egedii,38.140.06,,1,FALSE,,,,,
Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus [pending],Scirpus microcarpus Pacific Coast,52.113.05,,8,FALSE,,,,,
Carex serratodens,Carex serratodens,45.180.03,,4,FALSE,,,,,
Carex simulata,Carex simulata,45.190.01,,3,FALSE,,,,,
Carex spectabilis,Carex spectabilis – Sibbaldia procumbens,45.155.01,,3,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,,45.240.00,,11,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,Calamagrostis canadensis – (Carex utriculata),41.224.05,,1,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,Carex microptera,45.181.01,,1,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,Carex nebrascensis,45.130.01,,18,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,"Carex nebrascensis

Carex nebrascensis",45.130.01,,1,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,Carex utriculata,52.120.01,,6,TRUE,,,,Split,"45.240.05, 45.192.02"
Carex utriculata – Calamagrostis canadensis,Carex vesicaria,45.170.01,,3,TRUE,,,,Split,"45.240.04, 45.192.01"
Carex utriculata – Calamagrostis canadensis,Eleocharis acicularis Montane,,,2,FALSE,45.240.03,,,,
Carex utriculata – Calamagrostis canadensis,Eleocharis macrostachya Montane,45.240.01,,2,FALSE,,,,,
Carex utriculata – Calamagrostis canadensis,Scirpus microcarpus,52.113.01,,1,TRUE,,,,Split,"52.113.04, 52.113.05"
Carex utriculata – Calamagrostis canadensis,Torreyochloa pallida var. pauciflora,45.171.01,,1,FALSE,,,,,
Carnegiea gigantea – Parkinsonia microphylla – Prosopis velutina,,33.150.00,,9,FALSE,,,,,
Carpobrotus edulis or Other Ice Plants,,21.200.00,,8,FALSE,,,,,
Carpobrotus edulis or Other Ice Plants,Carpobrotus edulis,21.200.01,,2,FALSE,,,,,
"Ceanothus (oliganthus, tomentosus)",Ceanothus cyaneus,37.207.10,,2,FALSE,,,,,
"Ceanothus (oliganthus, tomentosus)",Ceanothus oliganthus,37.207.01,,3,FALSE,,,,,
"Ceanothus (oliganthus, tomentosus)",Ceanothus tomentosus,37.207.09,,23,FALSE,,,,,
Ceanothus cordulatus,,37.209.00,,10,TRUE,,,,Merged,37.217.00
Ceanothus cordulatus – Ceanothus integerrimus,,37.217.00,,11,FALSE,,,,,
Ceanothus cordulatus – Ceanothus integerrimus,Ceanothus cordulatus,37.209.01,,8,FALSE,,,,,
Ceanothus cordulatus – Ceanothus integerrimus,Ceanothus integerrimus,37.206.01,,21,FALSE,,,,,
Ceanothus cordulatus - Ceanothus integerrimus Shrubland,Ceanothus cordulatus,37.209.01,,12,FALSE,,,,,
Ceanothus crassifolius,,37.208.00,,8,FALSE,,,,,
Ceanothus crassifolius,Ceanothus crassifolius,37.208.01,,7,FALSE,,,,,
Ceanothus crassifolius,Ceanothus crassifolius – Adenostoma fasciculatum,37.208.02,,3,FALSE,,,,,
Ceanothus crassifolius,Ceanothus crassifolius – Adenostoma fasciculatum – Rhus ovata,37.208.04,,1,FALSE,,,,,
Ceanothus crassifolius,Ceanothus crassifolius Alliance,37.208.00,,1,FALSE,,,,,
Ceanothus cuneatus,,,,5,FALSE,37.211.00,,,,
Ceanothus cuneatus,,37.211.00,,80,FALSE,,,,,
Ceanothus cuneatus,Ceanothus cuneatus,,,7,FALSE,37.211.01,,,,
Ceanothus cuneatus,Ceanothus cuneatus,37.211.01,,77,FALSE,,,,,
Ceanothus cuneatus,Ceanothus cuneatus – (Arctostaphylos spp.) Maritime,37.211.12,,9,FALSE,,,,,
Ceanothus cuneatus,Ceanothus cuneatus – Adenostoma fasciculatum,37.211.06,,25,FALSE,,,,,
Ceanothus cuneatus,Ceanothus cuneatus – Eriodictyon californicum – (Fremontodendron californicum),37.211.08,,9,FALSE,,,,,
Ceanothus greggii,Ceanothus greggii,37.212.01,,1,FALSE,,,,,
Ceanothus greggii,Ceanothus greggii – Adenostoma fasciculatum,37.212.03,,2,FALSE,,,,,
Ceanothus greggii,"Ceanothus greggii (var. vestitus, var. perplexans)",37.212.01,,2,FALSE,,,,,
Ceanothus greggii – Fremontodendron californicum,,37.212.00,,13,FALSE,,,,,
Ceanothus greggii – Fremontodendron californicum,"Ceanothus greggii (var. vestitus, var. perplexans)",37.212.01,,4,FALSE,,,,,
Ceanothus greggii – Fremontodendron californicum,Fremontodendron californicum,37.212.05,,26,FALSE,,,,,
Ceanothus integerrimus,,37.206.00,,13,TRUE,,,,Merged,37.217.00
Ceanothus integerrimus,Ceanothus integerrimus – Arctostaphylos viscida,37.206.04,,2,FALSE,,,,,
Ceanothus leucodermis,,37.205.00,,3,FALSE,,,,,
Ceanothus leucodermis,Ceanothus leucodermis,37.205.01,,19,FALSE,,,,,
Ceanothus megacarpus,Ceanothus megacarpus,37.201.01,,3,FALSE,,,,,
Ceanothus oliganthus,Ceanothus oliganthus,37.207.01,,1,FALSE,,,,,
Ceanothus oliganthus – Ceanothus leucodermis – Ceanothus tomentosus,Ceanothus oliganthus,37.207.01,,3,FALSE,,,,,
Ceanothus papillosus,Ceanothus papillosus – Eriodictyon californicum,37.215.02,,3,FALSE,,,,,
Ceanothus spinosus,,37.214.00,,3,TRUE,,,,Merged,37.912.00
Ceanothus spinosus,Ceanothus spinosus,37.214.01,,2,FALSE,,,,,
Ceanothus spinosus,Ceanothus spinosus – Ceanothus megacarpus,37.214.02,,1,FALSE,,,,,
Ceanothus thyrsiflorus,,37.204.00,,1,FALSE,,,,,
Ceanothus thyrsiflorus,Ceanothus incanus,37.204.04,,8,FALSE,,,,,
Ceanothus thyrsiflorus,Ceanothus thyrsiflorus – (Rubus ursinus),37.204.02,,10,FALSE,,,,,
Ceanothus thyrsiflorus,Ceanothus thyrsiflorus – Baccharis pilularis – Toxicodendron diversilobum,37.204.01,,2,FALSE,,,,,
Ceanothus velutinus,,37.210.00,,6,FALSE,,,,,
Ceanothus velutinus,Ceanothus velutinus,37.210.01,,34,FALSE,,,,,
Ceanothus velutinus,Ceanothus velutinus – Prunus emarginata – Artemisia tridentata,37.210.02,,3,FALSE,,,,,
Ceanothus velutinus,Symphoricarpos oreophilus,35.111.08,,1,FALSE,,,,,
Celtis laevigata var. reticulata – Rhus trilobata,,61.565.00,,1,FALSE,,,,,
"Centaurea (solstitialis, melitensis)",Centaurea solstitialis,42.042.02,,1,FALSE,,,,,
Centromadia (pungens),,44.160.00,,2,FALSE,,,,,
Centromadia (pungens),Centromadia pungens – Lepidium dictyotum,44.160.03,,3,FALSE,,,,,
Cephalanthus occidentalis,,63.300.00,,5,FALSE,,,,,
Cephalanthus occidentalis,Cephalanthus occidentalis,63.300.01,,8,FALSE,,,,,
Cephalanthus occidentalis – Rosa californica [pending],Calycanthus occidentalis,63.312.01,,4,FALSE,,,,,
Ceratophyllum demersum,Ceratophyllum demersum Western,52.126.01,,1,FALSE,,,,,
Ceratophyllum demersum Aquatic,Ceratophyllum demersum Western,52.126.01,,4,FALSE,,,,,
Cercocarpus intricatus,Cercocarpus intricatus,76.300.01,,3,FALSE,,,,,
Cercocarpus ledifolius,,76.200.00,,6,FALSE,,,,,
Cercocarpus ledifolius,Cercocarpus ledifolius,76.200.03,,9,FALSE,,,,,
Cercocarpus ledifolius,Cercocarpus ledifolius – Artemisia tridentata,76.200.01,,4,FALSE,,,,,
Cercocarpus ledifolius,Cercocarpus ledifolius – Artemisia tridentata ssp. vaseyana,76.200.04,,14,FALSE,,,,,
Cercocarpus ledifolius,Cercocarpus ledifolius – Ribes velutinum – Symphoricarpos rotundifolius,,,20,FALSE,76.200.03,,,,
Cercocarpus montanus,,76.100.00,,72,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Adenostoma fasciculatum,76.100.06,,6,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Adenostoma fasciculatum – Diplacus aurantiacus,76.100.17,,2,TRUE,,,,Lumped,76.100.06
Cercocarpus montanus,Cercocarpus montanus – Arctostaphylos glauca,76.100.04,,1,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Ceanothus cuneatus,76.100.16,,3,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Ceanothus cuneatus – Quercus john-tuckeri,76.100.09,,3,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Eriogonum fasciculatum,37.600.01,,4,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Fremontodendron californicum,76.100.10,,3,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Prunus ilicifolia,76.100.14,,5,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus – Prunus ilicifolia – Adenostoma sparsifolium,76.100.13,,1,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus var. glaber,76.100.03,,24,FALSE,,,,,
Cercocarpus montanus,Cercocarpus montanus var. minutiflorus,37.610.02,,5,FALSE,,,,,
Chamaebatia australis,,,,1,FALSE,,,,,
Chilopsis linearis,,61.550.00,,5,TRUE,,,,Merged,61.555.00
Chilopsis linearis – Psorothamnus spinosus,,61.555.00,,111,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Chilopsis linearis,61.550.01,,20,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Chilopsis linearis / (Ambrosia eriocentra – Salvia dorrii),61.550.05,,21,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Chilopsis linearis / Ambrosia salsola,61.550.02,,40,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Chilopsis linearis / Ericameria paniculata,61.550.07,,29,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Chilopsis linearis / Prunus fasciculata,61.550.04,,34,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Psorothamnus spinosus,61.570.01,,3,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Psorothamnus spinosus / Ambrosia salsola – (Bebbia juncea –  Ephedra californica),61.570.02,,24,FALSE,,,,,
Chilopsis linearis – Psorothamnus spinosus,Psorothamnus spinosus /Senegalia greggii – (Hyptis emoryi),61.570.04,,6,FALSE,,,,,
"Chilopsis linearis – Psorothamnus spinosus
Chilopsis linearis – Psorothamnus spinosus",,61.555.00,,1,FALSE,,,,,
Chorizanthe rigida – Geraea canescens Desert Pavement,,22.310.00,,176,FALSE,,,,,
Chorizanthe rigida – Geraea canescens Desert Pavement,Aliciella latifolia – Nama pusillum – Phacelia rotundifolia,23.310.02,,6,FALSE,,,,,
Chorizanthe rigida – Geraea canescens Desert Pavement,Chorizanthe rigida – Geraea canescens Desert Pavement,33.380.01,,15,FALSE,,,,,
Chorizanthe rigida – Geraea canescens Desert Pavement sparsely vegetated,Chorizanthe rigida – Geraea canescens – Olneya tesota,,,22,FALSE,,,,,
Chrysolepis sempervirens,,37.700.00,,26,FALSE,,,,,
Chrysolepis sempervirens,Chrysolepis sempervirens,37.700.01,,1,FALSE,,,,,
Chrysothamnus viscidiflorus,,35.350.00,,3,FALSE,,,,,
Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus,35.350.01,,10,FALSE,,,,,
Cirsium fontinale,Cirsium fontinale,42.100.04,,23,FALSE,,,,,
Cirsium fontinale,Cirsium fontinale var. campylon – Carex serratodens – Hordeum brachyantherum,42.100.01,,12,TRUE,,,,Merged,42.100.04
Cirsium fontinale,Cirsium fontinale var. campylon – Hemizonia congesta ssp. luzulifolia,42.100.02,,2,TRUE,,,,Merged,42.100.04
Cirsium fontinale,Cirsium fontinale var. campylon – Mimulus guttatus – Stachys pycnantha,42.100.03,,3,TRUE,,,,Merged,42.100.04
Cistanthe (umbellata) – Gayophytum (diffusum),,45.311.00,,6,FALSE,,,,,
Cistanthe (umbellata) – Gayophytum (diffusum),Polygonum douglasii – Gayophytum diffusum,45.311.04,,2,FALSE,,,,,
Cladium californicum,Cladium californicum,52.160.01,,2,FALSE,,,,,
Coleogyne ramosissima,,33.020.00,,101,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima,33.020.01,,35,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima – Ephedra spp.,33.020.03,,32,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima – Ericameria teretifolia,33.020.15,,10,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima – Eriogonum fasciculatum,33.020.05,,32,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima – Larrea tridentata,33.020.07,,10,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima – Lycium andersonii,33.020.08,,24,FALSE,,,,,
Coleogyne ramosissima,Coleogyne ramosissima / Pleuraphis jamesii,33.020.14,,2,FALSE,,,,,
Conium maculatum – Foeniculum vulgare,,45.556.00,,2,FALSE,,,,,
Conium maculatum – Foeniculum vulgare,Conium maculatum,45.556.01,,5,FALSE,,,,,
Conium maculatum – Foeniculum vulgare,"Dipsacus (fullonum, sativus)",45.556.03,,2,FALSE,,,,,
Conium maculatum – Foeniculum vulgare,Foeniculum vulgare,45.556.02,,6,FALSE,,,,,
Coreopsis gigantea,,43.100.00,,23,FALSE,,,,,
Coreopsis gigantea,Coreopsis gigantea – (Lycium californicum – Opuntia spp.),43.100.05,,6,FALSE,,,,,
Coreopsis gigantea,Coreopsis gigantea / (Dudleya greenei),43.100.04,,18,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",,32.230.00,,25,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Chlorogalum pomeridianum – (Triteleia laxa – Perideridia kelloggii),32.230.09,,9,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Chorizanthe pungens – Eriogonum nudum var. decurrens – Heterotheca sessiliflora,32.230.07,,39,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Corethrogyne filaginifolia,32.240.01,,17,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Eriogonum elongatum,32.230.01,,1,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Eriogonum nudum,32.230.02,,17,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Eriogonum nudum var. indictum – Eriogonum vestitum,32.230.03,,1,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Grindelia camporum – Annual Grass – Forb,32.230.08,,10,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Heterotheca sessiliflora Upland,32.230.10,,3,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Lupinus excubitus – Mentzelia albicaulis – Eriogonum spp.,32.230.05,,9,FALSE,,,,,
"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",Viola pedunculata – (Eschscholzia californica – Nassella pulchra),32.230.06,,10,FALSE,,,,,
Cornus sericea,"Cornus sericea – Salix (lasiolepis, exigua)",80.100.06,,11,FALSE,,,,,
Cornus sericea – Rosa woodsii – Ribes spp.,,63.320.00,,7,FALSE,,,,,
Cornus sericea – Rosa woodsii – Ribes spp.,Cornus sericea,80.100.02,,5,FALSE,,,,,
Cornus sericea – Rosa woodsii – Ribes spp.,Rosa woodsii,63.320.01,,8,FALSE,,,,,
"Cortaderia (jubata, selloana)","Cortaderia (jubata, selloana)",42.070.01,,5,FALSE,,,,,
Corylus cornuta var. californica,Corylus cornuta / Polystichum munitum,37.950.01,,11,FALSE,,,,,
Cressa truxillensis – Distichlis spicata,,46.100.00,,12,FALSE,,,,,
Cressa truxillensis – Distichlis spicata,Cressa truxillensis,46.100.09,,3,FALSE,,,,,
Cressa truxillensis – Distichlis spicata,Cressa truxillensis – Distichlis spicata,46.100.08,,1,FALSE,,,,,
Cressa truxillensis – Distichlis spicata,Cressa truxillensis – Endolepis covillei,,,1,FALSE,,,,,
Cylindropuntia acanthocarpa / Pleuraphis rigida,,,,2,FALSE,33.055.00,,,,
Cylindropuntia acanthocarpa / Pleuraphis rigida,Cylindropuntia acanthocarpa var. coloradensis,33.055.01,,11,FALSE,,,,,
Cylindropuntia acanthocarpa / Pleuraphis rigida,Ericameria cooperi disturbance,33.055.03,,12,FALSE,,,,,
Cylindropuntia acanthocarpa / Pleuraphis rigida,Pleuraphis rigida / (Acamptopappus sphaerocephalus – Ericameria cooperi),33.055.02,,57,FALSE,,,,,
Cylindropuntia bigelovii,,33.050.00,,24,FALSE,,,,,
Cynodon dactylon – Crypsis spp. – Paspalum spp.,,42.220.00,,2,FALSE,,,,,
Cynodon dactylon – Crypsis spp. – Paspalum spp.,"Crypsis (schoenoides, vaginiflora)",42.220.02,,1,FALSE,,,,,
Cynodon dactylon – Crypsis spp. – Paspalum spp.,Cynodon dactylon,42.220.01,,1,FALSE,,,,,
Cynosurus echinatus,Cynosurus echinatus – (Danthonia pilosa – Nassella manicata),42.044.08,,1,FALSE,,,,,
Cynosurus echinatus – Arrhenatherum elatius,Cynosurus echinatus – (Danthonia pilosa – Nassella manicata),42.044.08,,3,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,"Cotoneaster (lacteus, pannosus)",32.180.05,,1,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,Cytisus scoparius,32.180.04,,1,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,Genista monspessulana,32.180.01,,6,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,Hypericum canariense,32.180.06,,1,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,Spartium junceum,32.180.02,,1,FALSE,,,,,
Cytisus scoparius – Genista monspessulana – Cotoneaster spp.,Ulex europaeus,32.180.03,,1,FALSE,,,,,
Danthonia californica,Danthonia californica – (Briza maxima – Vulpia bromoides),41.050.06,,4,TRUE,,,,Merged,41.251.01
Danthonia californica – Deschampsia cespitosa – Camassia quamash,Carex athrostachya,41.281.03,,1,FALSE,,,,,
Danthonia californica – Deschampsia cespitosa – Camassia quamash,Carex praegracilis Montane,41.281.02,,4,FALSE,,,,,
Danthonia californica – Deschampsia cespitosa – Camassia quamash,Danthonia unispicata – Poa secunda,41.180.04,,6,FALSE,,,,,
Danthonia californica – Deschampsia cespitosa – Camassia quamash,Deschampsia cespitosa,41.220.08,,11,FALSE,,,,,
Danthonia californica – Deschampsia cespitosa – Camassia quamash,Juncus nevadensis,45.567.01,,4,FALSE,,,,,
Danthonia spp. –  Camassia spp.,,,,1,FALSE,,,,,
Danthonia spp. –  Camassia spp.,Danthonia unispicata – Poa secunda,,,10,FALSE,41.180.04,,,,
Deinandra clementina – Eriogonum giganteum,,43.110.00,,1,FALSE,,,,,
Deinandra clementina – Eriogonum giganteum,Deinandra clementina,43.110.01,,1,FALSE,,,,,
Deinandra fasciculata,Deinandra fasciculata – annual grass-herb,44.161.01,,18,FALSE,,,,,
Dendromecon rigida,Dendromecon rigida,37.750.01,,2,FALSE,,,,,
Deschampsia cespitosa,Deschampsia cespitosa,41.220.08,,2,FALSE,,,,,
Deschampsia cespitosa,Deschampsia cespitosa – Danthonia californica,41.220.09,,1,FALSE,,,,,
Deschampsia cespitosa – Festuca rubra Brackish Salt Marsh,,41.205.00,,2,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,,41.221.00,,1,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,"Deschampsia (cespitosa, holciformis)",41.220.18,,1,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Deschampsia cespitosa – Danthonia californica,41.220.09,,7,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Deschampsia cespitosa – Eryngium armatum,41.220.17,,6,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Deschampsia cespitosa – Iris douglasiana,41.221.01,,2,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Deschampsia cespitosa / Rosa nutkana,41.221.02,,1,FALSE,,,,,
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Deschampsia cespitosa var. holciformis,41.220.15,,3,TRUE,,,,split,"41.220.18, 41.205.01"
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Hordeum brachyantherum,42.052.01,,1,TRUE,,,,Split,"42.052.05, 41.281.00"
Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,Hordeum brachyantherum Lowland,42.052.05,,12,FALSE,,,,,
Deschampsia cespitosa coastal,Deschampsia cespitosa – Eryngium armatum,41.220.17,,3,FALSE,,,,,
Deschampsia cespitosa coastal,Deschampsia cespitosa / Rosa nutkana,,,1,FALSE,41.221.02,,,,
Deschampsia cespitosa coastal,Deschampsia cespitosa var. holciformis,41.220.15,,1,TRUE,,,,split,"41.220.18, 41.205.01"
Dicoria canescens – Abronia villosa – Panicum urvilleanum,,22.105.00,,34,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,(Dicoria canescens) – Salsola tragus,22.105.06,,4,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Cleomella obtusifolia – Cleome sparsifolia – Psathyrotes spp.,22.105.07,,1,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Dicoria canescens,22.100.01,,22,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Oenothera deltoides – Cryptantha spp.,22.105.02,,5,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Panicum urvilleanum,42.095.01,,10,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Petalonyx thurberi,22.105.03,,21,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Swallenia alexandrae,22.105.04,,6,FALSE,,,,,
Dicoria canescens – Abronia villosa – Panicum urvilleanum,Wislizenia refracta,22.105.05,,2,FALSE,,,,,
Diplacus aurantiacus,"Diplacus (aurantiacus, puniceus)",32.082.01,,11,FALSE,,,,,
Diplacus aurantiacus,Diplacus aurantiacus,32.082.01,,1,FALSE,,,,,
Distichlis spicata,,41.200.00,,21,TRUE,,,,Split,"41.201.00,41.202.00"
Distichlis spicata,Distichlis spicata,41.200.09,,19,TRUE,,,,Split,"41.201.01, 41.202.02"
Distichlis spicata,Distichlis spicata – annual grasses,41.200.13,,8,TRUE,,,,Split,"41.201.02, 41.200.16"
Distichlis spicata,Distichlis spicata – Frankenia salina – Jaumea carnosa,41.200.07,,11,FALSE,,,,,
Distichlis spicata,Distichlis spicata – Juncus arcticus var. balticus (J. arcticus var. mexicanus),41.200.05,,36,TRUE,,,,Split,"41.202.03, 41.201.03"
Distichlis spicata,Distichlis spicata – Juncus cooperi,41.200.02,,2,FALSE,,,,,
Distichlis spicata,Distichlis spicata – Leymus triticoides,41.200.19,,1,FALSE,,,,,
Distichlis spicata,Distichlis spicata – Sarcocornia pacifica,41.200.20,,3,FALSE,,,,,
Distichlis spicata,Distichlis spicata alliance,41.200.00,,1,TRUE,,,,Split,"41.201.00, 41.202.00"
Distichlis spicata,Juncus acutus,41.200.22,,1,FALSE,,,,,
Distichlis spicata,Juncus cooperi,45.563.01,,11,FALSE,,,,,
Distichlis spicata – (Juncus cooperi – Frankenia salina) Interior,,41.201.00,,5,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,,,,3,FALSE,41.202.00,,,,
Distichlis spicata – Frankenia salina Coastal,,41.202.00,,4,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Argentina egedii – Distichlis spicata,41.202.01,,4,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata,41.200.09,,3,TRUE,,,,Split,"41.201.01, 41.202.02"
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata – (Bromus diandrus – Avena spp.),41.200.16,,2,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata – Ambrosia chamissonis,41.200.11,,1,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata – annual grasses,41.200.13,,2,TRUE,,,,Split,"41.201.02, 41.200.16"
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata – Frankenia salina – Jaumea carnosa,41.200.07,,19,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata – Sarcocornia pacifica,41.200.20,,17,FALSE,,,,,
Distichlis spicata – Frankenia salina Coastal,Distichlis spicata Coastal,41.202.02,,3,FALSE,,,,,
